Nivel,Frase
A1,"Hallo, wie geht es dir?"
A1,Ich heiße Hans.
A1,Ich wohne in Berlin.
A1,Ich bin 20 Jahre alt.
A1,Wo ist die Toilette?
A1,Wie geht's?
A1,Das ist mein Freund.
A1,Ich mag Pizza.
A1,Heute ist Montag.
A1,Welcher Tag ist heute?
A1,Ich habe eine Schwester.
A1,Wo wohnst du?
A1,Ich arbeite in einem Büro.
A1,Meine Lieblingsfarbe ist blau.
A1,Möchtest du einen Kaffee?
A1,Ich liebe den Sommer.
A1,Es ist sehr schön hier.
A1,Magst du Musik?
A1,Gehen wir in den Park.
A1,Ich bin müde.
A2,Ich mag Fußball sehr.
A2,Kannst du mir bitte helfen?
A2,Ich lerne Deutsch.
A2,Wie spät ist es?
A2,Ich gehe in den Supermarkt.
A2,Ich muss Brot kaufen.
A2,Wo ist die Apotheke?
A2,Was ist dein Lieblingsfilm?
A2,Ich verstehe das nicht.
A2,Ich stehe um sieben auf.
A2,Gestern war ein langer Tag.
A2,Ich lese gerne Bücher.
A2,Kannst du das wiederholen?
A2,Es regnet viel.
A2,Wie sagt man das auf Deutsch?
A2,Ich werde nach Deutschland reisen.
A2,Das ist eine gute Idee.
A2,Was denkst du?
A2,Ich fühle mich krank.
A2,Heute ist mein Geburtstag.
B1,Ich würde gerne nach Mexiko reisen.
B1,Ich arbeite als Ingenieur.
B1,Was ist dein Lieblingsessen?
B1,Das Wetter ist heute sehr schön.
B1,Ich lese ein interessantes Buch.
B1,Ich gehe gerne einkaufen.
B1,Ich muss für die Prüfung lernen.
B1,Lass uns heute Abend auswärts essen.
B1,Was denkst du über dieses Thema?
B1,Ich freue mich sehr auf den Urlaub.
B1,Das ist mein Lieblingsrestaurant.
B1,Warst du schon mal in einem anderen Land?
B1,Ich suche einen neuen Job.
B1,Was machst du in deiner Freizeit?
B1,Ich schaue gerne Serien auf Netflix.
B1,"Es ist wichtig, die Umwelt zu schützen."
B1,Was ist dein Lieblingssport?
B1,Ich spare Geld für ein Auto.
B1,Hast du ein Haustier?
B1,Lass uns zusammen Sport machen.
B2,Hast du den neuesten Marvel-Film gesehen?
B2,Die Technologie entwickelt sich schnell.
B2,Ich koche gerne am Wochenende.
B2,Was denkst du über den Klimawandel?
B2,Die Weltwirtschaft verändert sich ständig.
B2,Ich plane meine nächste Reise.
B2,Ich interessiere mich für neue Sprachen.
B2,Glaubst du an außerirdisches Leben?
B2,Klassische Musik ist sehr entspannend.
B2,Ich besuche gerne Museen.
B2,Moderne Kunst ist faszinierend.
B2,"Lesen ist eine hervorragende Möglichkeit, sich zu entspannen."
B2,Ich mache mir Sorgen um die Zukunft des Planeten.
B2,Was denkst du über künstliche Intelligenz?
B2,"Es ist wichtig, gesund zu leben."
B2,Medizinische Fortschritte sind beeindruckend.
B2,Ich interessiere mich für Weltgeschichte.
B2,Bildung ist entscheidend für den Fortschritt.
B2,Magst du Philosophie?
B2,Der Weltraum ist das letzte große Mysterium.
C1,Biotechnologie revolutioniert die Medizin.
C1,Der Klimawandel ist eine globale Herausforderung.
C1,Künstliche Intelligenz kann Industrien transformieren.
C1,Die Erforschung des Weltraums ist für die Menschheit von großer Bedeutung.
C1,Internationale Politik ist sehr komplex.
C1,Nachhaltige Wirtschaft ist die Zukunft.
C1,Technologische Innovation ist unaufhaltsam.
C1,Kulturelle Vielfalt bereichert unser Leben.
C1,Klassische Literatur bietet einen Blick in die Vergangenheit.
C1,Ethik in der Technologie ist ein wichtiges Thema.
C1,Globalisierung beeinflusst alle Lebensbereiche.
C1,Biodiversität ist für das Überleben unerlässlich.
C1,Emotionale Intelligenz ist der Schlüssel zur Führung.
C1,Fortschrittliche Robotik verändert die Fertigung.
C1,Cybersicherheit ist in der digitalen Ära eine Priorität.
C1,Nanotechnologie verspricht große Fortschritte.
C1,Internationale Zusammenarbeit ist für den Frieden unerlässlich.
C1,Online-Bildung demokratisiert das Lernen.
C1,Die digitale Wirtschaft entwickelt sich ständig weiter.
C1,Unternehmensethik ist entscheidend für den langfristigen Erfolg.
